Age,Sex,Job,Housing,Saving_accounts,Checking_account,Credit_amount,Duration,Purpose,Risk
60,female,0,free,rich,little,22606,60,business,0
61,male,3,free,moderate,moderate,17631,14,car,0
46,female,0,own,little,little,7053,22,education,1
30,male,0,rent,little,moderate,18381,26,furniture,0
29,male,0,free,moderate,moderate,1879,65,business,0
48,female,3,own,rich,rich,25755,18,furniture,1
63,female,2,free,little,rich,4270,8,radio/TV,1
19,male,0,free,rich,little,20226,9,furniture,0
68,male,0,free,rich,rich,9588,12,car,1
67,male,3,free,moderate,rich,34814,31,business,0
52,female,2,free,moderate,rich,16850,29,car,0
40,male,0,own,rich,moderate,34563,15,education,1
34,female,1,rent,little,rich,16361,18,education,0
43,female,3,rent,little,little,14473,49,furniture,0
25,female,0,rent,moderate,moderate,18269,44,business,0
46,male,0,rent,rich,moderate,17826,24,business,1
43,female,1,own,little,rich,3286,56,business,0
27,female,1,own,little,moderate,2120,24,business,1
43,female,3,own,moderate,little,20089,57,furniture,0
51,female,3,free,rich,little,3382,52,car,1
68,female,1,free,little,moderate,25024,35,furniture,0
58,male,3,free,moderate,rich,10245,51,car,0
24,female,1,rent,little,rich,16361,26,radio/TV,0
21,female,0,free,little,moderate,26671,53,radio/TV,0
67,male,1,rent,little,little,26699,67,car,0
62,female,1,free,moderate,moderate,3337,63,furniture,0
28,male,2,rent,rich,rich,9099,23,education,1
46,female,1,free,moderate,rich,16411,64,furniture,0
53,male,1,free,rich,moderate,21053,53,education,0
42,male,2,own,little,little,24313,68,furniture,0
38,female,3,free,rich,moderate,30020,17,business,1
53,female,2,free,little,little,30041,39,business,0
27,female,0,own,little,little,736,66,radio/TV,0
54,male,2,rent,moderate,moderate,27850,58,radio/TV,0
26,male,0,own,little,moderate,12049,30,car,1
41,male,3,own,moderate,little,27953,67,education,0
52,female,2,rent,rich,little,13406,9,business,1
66,male,2,free,rich,little,15488,18,furniture,1
52,male,3,rent,little,little,28223,47,car,0
65,female,0,free,moderate,rich,34300,54,furniture,0
53,male,2,free,little,moderate,27930,61,business,0
35,male,0,rent,moderate,little,33035,52,business,0
66,female,2,own,moderate,moderate,3440,13,business,1
56,male,1,rent,moderate,little,22293,60,business,0
49,female,2,free,rich,moderate,12762,23,furniture,1
41,female,3,rent,moderate,moderate,7461,40,car,0
40,female,3,rent,rich,little,26999,37,business,0
49,female,0,free,moderate,little,31783,29,radio/TV,0
54,female,2,own,rich,moderate,1133,12,car,1
29,male,0,rent,rich,moderate,7322,18,radio/TV,1
66,male,0,free,rich,moderate,26468,47,furniture,0
30,female,1,free,little,rich,20330,36,business,0
40,female,1,rent,moderate,little,6238,31,car,1
42,male,3,own,little,rich,3598,37,business,0
52,female,0,rent,moderate,rich,30388,57,business,0
58,female,3,own,moderate,little,8597,25,car,1
47,female,2,own,little,little,13636,45,business,0
34,male,0,own,rich,rich,8753,64,business,1
66,male,0,own,moderate,little,25708,19,education,0
37,female,2,rent,rich,moderate,5387,49,education,1
65,female,2,free,little,moderate,9992,53,car,0
42,male,3,free,rich,rich,1954,48,car,1
39,male,3,free,moderate,rich,18022,21,business,0
30,female,2,free,moderate,little,3692,40,radio/TV,0
36,female,3,free,moderate,little,16275,58,car,0
66,male,2,free,little,rich,10902,39,business,0
53,male,0,rent,moderate,rich,13574,8,radio/TV,1
29,male,0,own,little,moderate,15745,10,education,0
58,female,1,free,rich,moderate,26436,15,car,1
36,male,0,rent,moderate,little,27502,57,business,0
29,female,2,free,moderate,moderate,16183,34,education,0
26,male,3,free,moderate,little,12960,36,furniture,0
24,male,1,own,rich,little,30982,71,education,0
45,male,3,own,moderate,little,16947,42,business,0
31,male,2,own,little,moderate,18229,32,radio/TV,0
48,female,0,free,rich,rich,21045,38,furniture,0
69,female,1,free,rich,rich,28704,64,furniture,0
36,male,2,free,rich,moderate,10314,69,furniture,1
64,female,1,own,rich,rich,14390,49,car,1
33,male,1,rent,rich,little,2240,54,business,1
22,male,0,free,little,rich,30621,58,furniture,0
52,male,2,free,rich,moderate,11718,54,education,1
29,male,3,free,moderate,rich,6555,71,radio/TV,0
42,female,1,rent,rich,little,23205,68,business,0
69,male,1,free,rich,little,6939,30,education,1
38,male,3,rent,rich,moderate,31421,9,car,1
53,female,2,free,rich,moderate,34229,56,furniture,0
40,male,1,rent,rich,moderate,23711,16,education,1
33,male,1,free,little,little,31114,22,business,0
56,male,1,own,little,rich,18101,71,education,0
62,female,2,own,rich,rich,28296,34,car,1
59,male,2,own,little,moderate,6507,25,radio/TV,1
56,female,3,own,moderate,rich,21014,32,furniture,0
31,male,2,free,rich,rich,18276,13,business,1
48,male,2,own,moderate,moderate,2576,66,furniture,0
22,female,0,rent,moderate,moderate,25850,33,furniture,0
52,male,3,own,rich,little,16792,8,furniture,1
40,male,1,own,moderate,little,32010,12,education,0
46,female,2,own,moderate,little,28500,65,education,0
60,female,1,free,moderate,little,30883,9,radio/TV,0
28,female,1,own,rich,rich,12285,10,car,1
35,female,0,rent,rich,rich,25355,16,business,1
64,female,2,own,moderate,little,24781,20,education,0
29,male,3,own,rich,little,5341,69,furniture,1
26,female,2,own,rich,moderate,32168,18,car,1
27,male,1,rent,moderate,rich,27418,12,business,0
61,male,3,own,rich,rich,17943,11,business,1
34,male,2,rent,little,little,32750,61,business,0
55,female,1,rent,rich,rich,2422,69,business,1
24,female,1,own,little,moderate,32476,55,radio/TV,0
63,male,0,rent,moderate,moderate,12491,35,business,1
30,female,0,free,rich,rich,23233,27,car,1
57,female,0,own,moderate,little,2973,30,education,1
59,female,1,own,moderate,rich,8608,33,car,1
26,female,2,rent,moderate,moderate,29215,44,furniture,0
67,male,0,rent,moderate,little,32710,10,radio/TV,0
44,male,2,own,moderate,rich,33862,70,radio/TV,0
19,female,0,free,rich,little,5389,20,furniture,1
22,male,3,rent,little,little,24521,45,car,0
46,female,3,rent,rich,moderate,8712,48,car,1
54,female,0,free,rich,little,32471,6,furniture,1
55,male,1,free,rich,rich,3701,27,business,1
36,male,0,own,rich,little,24846,67,business,0
25,male,0,free,little,little,14215,31,education,0
65,female,1,own,rich,rich,6181,23,car,1
62,male,3,free,moderate,moderate,17220,53,car,0
18,female,2,rent,rich,moderate,2167,14,furniture,1
39,male,0,own,rich,rich,28652,6,furniture,1
69,male,1,own,little,rich,8704,14,business,1
34,female,0,own,little,moderate,25037,28,car,0
24,female,1,free,moderate,little,11717,50,car,0
42,female,2,rent,rich,rich,34241,7,radio/TV,1
62,female,2,own,rich,little,21154,19,education,1
21,female,3,own,rich,rich,1908,43,education,0
53,female,1,own,moderate,moderate,19172,45,business,0
23,female,1,own,little,little,1718,68,car,0
48,female,3,rent,moderate,little,30605,21,radio/TV,0
36,male,3,free,rich,rich,4598,11,car,1
61,female,1,rent,little,little,8119,8,furniture,1
56,female,3,own,little,rich,12439,19,business,1
44,male,2,rent,moderate,moderate,18726,71,education,0
27,female,0,own,little,little,25822,36,car,0
43,male,2,free,little,rich,17378,38,business,0
36,male,3,free,rich,little,7060,6,education,1
56,female,1,free,rich,rich,29799,49,car,0
20,male,1,own,little,rich,8043,20,radio/TV,0
62,female,2,rent,little,rich,24446,42,business,0
30,male,1,free,moderate,moderate,32240,32,car,0
67,male,3,own,moderate,little,7753,53,education,0
45,male,2,own,little,moderate,14275,32,education,1
37,female,1,rent,rich,rich,33313,17,radio/TV,1
45,female,0,free,little,rich,28132,35,business,0
25,male,0,own,little,moderate,2557,71,business,0
58,male,3,rent,rich,moderate,33931,12,car,1
56,female,1,free,rich,little,18913,39,education,0
18,female,3,rent,moderate,rich,30725,37,education,0
20,male,2,rent,moderate,moderate,3196,44,radio/TV,0
30,male,0,own,moderate,rich,16601,48,radio/TV,0
45,female,2,own,moderate,rich,9331,48,business,0
66,female,1,own,rich,little,19547,8,education,1
42,female,3,rent,little,little,5504,51,car,0
50,female,3,own,moderate,little,23205,37,furniture,0
55,female,3,rent,moderate,moderate,22009,48,car,0
23,male,2,rent,rich,rich,15162,8,radio/TV,0
61,female,0,own,rich,moderate,894,68,car,1
62,male,2,free,little,moderate,11024,45,education,0
49,female,2,free,little,little,33597,23,business,0
62,male,1,free,rich,rich,27173,67,furniture,0
64,female,1,rent,moderate,rich,17656,15,business,0
38,female,1,rent,moderate,little,2145,57,furniture,0
33,male,0,rent,moderate,rich,29549,51,furniture,0
38,male,0,own,little,little,10315,60,education,0
28,female,1,rent,moderate,moderate,2348,51,education,0
54,female,1,own,moderate,moderate,34829,65,radio/TV,0
53,female,0,own,rich,little,34041,31,radio/TV,1
52,female,3,free,moderate,moderate,7811,32,furniture,1
36,female,0,free,rich,moderate,22063,43,radio/TV,0
37,male,0,free,moderate,little,15703,27,education,0
35,male,0,own,little,moderate,9790,31,radio/TV,1
64,female,1,own,moderate,rich,17631,40,furniture,0
58,male,3,own,moderate,moderate,30643,71,business,0
66,male,0,rent,rich,little,25009,56,car,0
31,male,1,own,rich,rich,22744,23,radio/TV,1
32,female,2,free,rich,rich,27398,48,education,0
48,male,2,free,moderate,moderate,34883,17,business,0
18,female,0,own,moderate,rich,20638,8,education,0
20,male,2,own,little,little,6006,12,radio/TV,0
33,female,3,free,moderate,rich,21105,11,furniture,0
40,male,2,own,little,moderate,13554,50,car,0
28,female,2,free,rich,moderate,28731,44,car,0
29,female,3,rent,rich,rich,14361,56,business,1
27,male,0,free,rich,little,12087,14,car,1
49,female,0,rent,little,little,14015,28,furniture,1
33,female,3,own,moderate,moderate,22175,17,education,0
25,female,3,own,rich,moderate,17100,67,furniture,0
55,female,3,rent,moderate,little,28392,45,business,0
29,female,2,own,moderate,rich,18243,59,business,0
41,female,3,rent,rich,rich,4274,12,car,1
45,female,1,own,little,rich,22301,22,furniture,0
25,female,2,free,moderate,rich,29353,55,education,0
45,male,0,own,rich,little,4929,29,furniture,1
53,male,0,free,moderate,moderate,5106,7,education,1
43,female,0,free,moderate,moderate,4978,38,education,0
25,female,2,rent,moderate,rich,18780,26,furniture,0
67,male,1,own,moderate,little,4927,58,radio/TV,0
45,male,3,rent,moderate,little,5861,51,furniture,0
45,male,3,own,little,rich,25975,50,education,0
54,female,0,free,little,rich,1141,14,business,1
58,male,0,free,rich,rich,22230,11,business,1
53,female,2,own,little,moderate,21613,56,car,0
44,female,1,own,little,rich,20511,40,business,0
34,male,3,rent,little,moderate,20159,58,radio/TV,0
26,female,2,own,moderate,little,21809,24,education,0
50,female,3,own,moderate,little,19188,30,furniture,0
37,female,0,own,rich,moderate,28676,16,furniture,1
30,female,3,rent,rich,moderate,3843,22,radio/TV,1
45,male,1,own,rich,moderate,2556,41,business,1
65,male,1,free,moderate,moderate,19692,26,education,0
46,female,0,rent,little,rich,23976,23,business,0
30,female,1,rent,little,little,9916,65,car,0
63,male,1,free,moderate,rich,1386,23,business,1
52,female,2,free,rich,moderate,9084,6,car,1
23,male,3,free,rich,rich,28266,19,furniture,0
35,female,0,own,rich,rich,19330,13,education,1
68,female,0,free,moderate,little,20789,71,car,0
22,male,0,own,rich,rich,12030,56,business,0
64,male,0,rent,rich,little,4091,65,business,1
42,male,0,rent,moderate,moderate,28842,39,furniture,0
19,male,1,free,little,rich,21895,41,radio/TV,0
27,female,2,own,moderate,moderate,17238,67,radio/TV,0
47,male,0,free,moderate,little,3131,6,business,1
67,female,2,free,moderate,moderate,18405,47,radio/TV,0
62,male,2,own,moderate,moderate,19556,6,education,0
22,male,1,free,little,little,24046,59,radio/TV,0
50,female,0,rent,rich,moderate,26514,52,education,0
18,male,1,free,moderate,moderate,7963,44,business,0
35,male,0,own,little,moderate,2280,35,business,1
49,male,1,own,rich,rich,26607,12,business,1
64,male,2,rent,rich,moderate,32087,27,furniture,1
66,female,0,own,rich,little,25468,55,radio/TV,0
28,female,3,own,moderate,rich,34093,50,car,0
38,male,2,rent,moderate,rich,24160,15,car,0
43,male,3,free,rich,little,2895,19,business,1
42,male,2,rent,rich,moderate,32348,51,radio/TV,0
39,female,1,free,rich,rich,16279,11,education,1
44,female,0,rent,rich,rich,5992,26,car,1
66,female,2,free,rich,rich,30222,67,business,0
30,female,1,rent,rich,moderate,7611,24,car,1
50,male,0,free,little,rich,10484,67,car,0
51,male,0,rent,rich,little,32516,58,car,0
58,male,2,free,moderate,moderate,28140,29,business,0
52,female,0,rent,moderate,little,7292,61,business,0
18,male,2,own,moderate,little,27424,67,furniture,0
38,female,0,free,rich,rich,33077,39,furniture,0
65,female,3,rent,moderate,rich,8211,27,furniture,1
23,male,1,free,little,rich,20512,62,car,0
45,male,3,free,rich,little,34833,15,radio/TV,1
34,male,2,rent,moderate,moderate,4596,71,business,0
22,female,3,free,little,rich,1519,13,furniture,0
48,female,2,rent,little,rich,24812,43,radio/TV,0
22,male,0,own,moderate,little,9976,67,furniture,0
55,male,0,free,little,moderate,8754,33,furniture,1
20,female,2,own,moderate,little,32919,15,radio/TV,0
40,male,3,free,little,rich,12084,50,furniture,0
54,female,0,free,rich,little,6465,70,car,1
54,female,1,free,rich,rich,11964,14,car,1
27,male,0,rent,rich,moderate,12939,10,car,1
27,male,1,own,rich,little,33463,15,education,1
36,male,3,free,rich,rich,28940,17,furniture,1
34,male,1,rent,moderate,rich,3773,63,education,0
38,female,1,free,rich,rich,15830,26,business,1
31,female,1,rent,rich,rich,21994,26,radio/TV,1
26,female,1,free,rich,little,11386,70,business,1
63,male,0,own,rich,rich,3712,8,education,1
18,female,1,own,little,little,18405,69,car,0
68,male,0,free,rich,rich,22558,54,furniture,0
62,male,1,rent,rich,little,1580,22,furniture,1
30,male,2,free,moderate,little,33175,37,car,0
21,male,3,rent,little,rich,22507,26,furniture,0
18,male,1,free,moderate,rich,17605,12,radio/TV,0
66,male,2,rent,rich,rich,30779,12,radio/TV,1
57,female,1,own,moderate,rich,18446,32,radio/TV,0
49,male,1,free,moderate,moderate,1139,13,business,1
51,female,1,own,rich,rich,13002,33,car,1
45,female,2,own,little,rich,28863,71,radio/TV,0
48,male,3,free,little,rich,4236,52,education,0
25,male,2,free,moderate,little,16973,15,radio/TV,0
56,male,3,rent,rich,rich,34519,38,business,0
43,female,1,rent,moderate,little,21587,12,education,0
51,male,0,own,moderate,little,28989,8,car,0
20,female,1,rent,moderate,little,19825,19,car,0
67,male,3,rent,rich,little,771,49,radio/TV,1
29,male,2,free,rich,moderate,18914,51,education,0
18,female,1,rent,little,rich,24720,66,education,0
61,female,2,own,rich,little,9887,41,radio/TV,1
22,male,2,rent,moderate,rich,11779,18,radio/TV,0
47,female,2,own,moderate,little,28084,21,furniture,0
47,female,1,free,little,moderate,11357,10,furniture,1
34,female,2,own,rich,little,8552,43,radio/TV,1
65,female,2,rent,moderate,rich,17495,55,business,0
64,female,1,free,little,rich,14080,43,furniture,0
40,male,2,rent,little,moderate,18740,61,radio/TV,0
32,male,1,free,moderate,rich,18410,68,education,0
54,female,3,free,moderate,rich,10716,53,furniture,0
38,male,3,rent,rich,little,25411,64,business,0
31,male,3,rent,little,rich,15938,49,car,0
19,female,2,free,moderate,little,8365,60,education,0
28,male,0,free,little,moderate,17057,60,business,0
68,female,0,rent,rich,rich,12711,6,business,1
56,female,2,own,moderate,little,33768,13,business,0
55,male,0,rent,rich,rich,4146,9,education,1
51,female,1,free,little,little,24424,58,business,0
55,female,0,rent,rich,moderate,10410,63,car,1
67,female,2,own,rich,little,2278,42,furniture,1
51,female,2,rent,little,rich,19941,54,education,0
35,female,1,free,rich,little,5690,24,business,1
47,male,3,rent,little,rich,15804,6,radio/TV,0
32,male,2,free,moderate,moderate,27789,34,furniture,0
44,female,1,free,little,little,5247,38,education,0
68,female,0,rent,little,rich,9786,57,radio/TV,0
51,male,0,free,moderate,rich,545,46,radio/TV,0
69,female,1,free,little,rich,30242,28,business,0
55,male,1,own,moderate,little,8258,10,education,1
50,female,2,own,moderate,little,23937,62,business,0
41,female,0,own,little,little,20085,11,car,0
32,female,1,own,rich,moderate,33723,54,radio/TV,0
47,female,0,free,rich,rich,10354,27,car,1
59,female,1,rent,moderate,rich,17849,9,business,0
68,female,0,free,rich,moderate,31192,69,furniture,0
34,female,3,free,rich,moderate,21848,42,radio/TV,0
22,male,2,free,little,little,34796,36,furniture,0
46,male,0,rent,moderate,little,19955,42,education,0
21,male,3,own,moderate,little,13788,50,radio/TV,0
27,female,0,free,little,little,6887,13,car,1
34,female,0,free,rich,little,34394,45,furniture,0
27,female,3,own,moderate,little,23516,10,education,0
34,female,0,free,rich,moderate,30715,33,radio/TV,1
37,female,0,rent,moderate,moderate,16602,14,education,0
41,female,2,free,moderate,moderate,3904,7,car,1
22,female,3,free,moderate,rich,606,68,radio/TV,0
51,male,3,own,moderate,rich,15695,56,education,0
23,female,1,free,rich,little,27653,36,business,0
19,male,0,free,rich,moderate,30105,12,radio/TV,0
30,male,2,rent,rich,rich,6080,35,radio/TV,1
60,female,0,own,rich,rich,5900,63,radio/TV,1
60,female,0,own,little,moderate,31149,8,radio/TV,0
65,male,1,rent,moderate,rich,30996,56,business,0
28,male,0,free,moderate,rich,21137,61,car,0
68,female,2,own,moderate,moderate,6677,15,business,1
64,female,2,own,little,rich,7769,66,business,0
40,male,1,free,rich,moderate,15474,55,education,0
33,female,0,free,moderate,rich,14537,52,furniture,0
48,female,2,own,rich,moderate,19256,6,furniture,1
28,female,0,free,rich,rich,16667,62,education,0
33,male,0,own,little,rich,23718,43,business,0
25,male,0,free,little,moderate,25667,67,education,0
21,male,1,free,rich,rich,7117,70,radio/TV,0
57,female,0,rent,moderate,moderate,22034,67,education,0
21,female,2,free,moderate,moderate,25959,61,education,0
42,male,0,rent,little,rich,21042,22,radio/TV,0
20,male,2,free,little,little,803,13,furniture,0
49,male,0,own,little,rich,30256,65,radio/TV,0
20,female,2,own,little,little,13183,45,car,0
44,male,2,free,little,little,33195,67,education,0
46,male,0,free,little,rich,11525,46,education,0
49,female,0,own,little,little,21390,17,furniture,0
67,female,2,free,moderate,moderate,19215,59,business,0
68,female,3,rent,little,moderate,5061,16,radio/TV,1
36,male,1,rent,little,little,33347,65,business,0
38,female,3,rent,moderate,moderate,27907,51,car,0
22,female,3,rent,moderate,rich,22080,43,radio/TV,0
35,male,0,rent,rich,moderate,10669,66,car,1
45,female,1,free,little,little,17616,22,car,0
59,male,3,free,little,rich,22543,71,car,0
39,male,0,rent,little,moderate,2624,41,radio/TV,0
38,female,3,free,little,rich,7676,12,radio/TV,1
23,female,3,free,rich,little,26274,21,furniture,0
18,female,0,rent,moderate,moderate,19176,19,education,0
22,female,0,free,moderate,rich,25260,30,business,0
58,female,0,free,little,rich,1497,9,business,1
29,female,1,free,little,moderate,13617,34,car,1
43,male,3,rent,little,rich,11731,61,radio/TV,0
63,male,0,free,rich,rich,30251,11,radio/TV,1
51,female,2,own,rich,little,7940,6,car,1
66,male,3,own,moderate,little,20411,44,education,0
31,female,2,rent,little,little,16108,6,business,0
43,male,1,own,little,little,30165,68,furniture,0
62,male,0,rent,little,little,27657,62,education,0
44,male,2,own,little,little,29279,70,radio/TV,0
26,female,1,own,rich,moderate,30468,70,car,0
43,male,0,own,moderate,little,27887,26,business,0
64,female,2,rent,moderate,rich,4590,35,car,1
39,male,2,rent,rich,moderate,25445,38,radio/TV,0
64,male,1,free,little,rich,4243,53,car,0
47,male,0,rent,moderate,little,31424,27,business,0
60,male,0,own,moderate,little,10696,59,car,0
65,male,2,own,rich,rich,26779,9,business,1
34,female,2,rent,little,rich,3824,60,car,0
43,female,2,rent,moderate,rich,20141,49,car,0
53,male,0,rent,little,moderate,27982,17,business,0
18,male,1,free,moderate,little,33494,57,car,0
25,male,1,own,rich,rich,15363,70,education,0
66,male,0,free,little,little,24611,70,furniture,0
52,female,3,free,rich,rich,3699,15,education,1
69,male,1,own,moderate,little,8397,23,furniture,1
32,female,2,own,rich,moderate,15392,52,education,0
64,male,3,rent,rich,little,8771,71,furniture,1
39,female,3,rent,rich,rich,25315,54,car,0
31,male,1,free,moderate,little,33857,27,business,0
43,male,3,rent,little,moderate,10052,31,business,1
45,female,3,rent,rich,moderate,16767,14,radio/TV,1
40,male,1,own,little,little,18768,26,furniture,0
31,male,1,own,moderate,rich,14763,68,radio/TV,0
41,male,3,rent,little,moderate,5899,11,radio/TV,1
19,female,2,own,rich,moderate,30311,19,furniture,0
62,male,0,rent,rich,little,29506,38,business,0
43,male,3,own,rich,moderate,1576,29,furniture,1
31,female,3,own,rich,moderate,7735,56,car,1
68,female,2,own,rich,rich,23721,7,radio/TV,1
24,female,3,own,rich,rich,16917,20,radio/TV,0
20,male,3,rent,moderate,rich,33039,40,furniture,0
64,male,0,free,moderate,little,34402,41,radio/TV,0
40,male,0,own,moderate,moderate,24145,44,business,0
63,female,0,rent,little,little,22182,9,radio/TV,0
60,male,1,rent,little,moderate,23901,69,furniture,0
64,male,1,own,moderate,moderate,8271,11,business,1
62,female,0,free,little,moderate,9415,62,business,0
35,female,0,own,little,rich,14398,35,radio/TV,1
55,female,1,rent,rich,little,2413,20,furniture,1
52,female,2,free,rich,little,27568,22,radio/TV,1
68,female,3,rent,little,moderate,2442,23,car,1
32,male,3,own,little,little,20888,24,car,0
42,female,0,free,moderate,rich,18215,29,business,0
54,male,2,rent,little,little,837,53,radio/TV,0
45,male,1,rent,rich,moderate,23950,35,car,1
27,female,0,rent,little,rich,10557,20,education,1
56,female,2,own,moderate,rich,28213,52,car,0
34,female,2,free,rich,moderate,9483,49,radio/TV,1
56,male,2,own,rich,little,20495,32,radio/TV,1
39,female,1,own,rich,moderate,26592,69,car,0
43,female,1,own,rich,little,12645,46,radio/TV,1
61,female,3,free,little,little,23989,10,radio/TV,0
42,female,3,own,moderate,rich,31536,58,education,0
34,female,2,own,little,moderate,30113,13,business,0
30,male,2,own,little,rich,28984,27,radio/TV,0
37,male,1,own,rich,moderate,3173,12,furniture,1
42,male,3,rent,moderate,moderate,12477,27,business,1
21,female,2,own,rich,rich,23966,51,business,0
27,female,3,rent,little,moderate,27509,35,furniture,0
20,female,3,own,little,moderate,4188,21,car,0
58,male,2,free,rich,little,4248,10,education,1
62,female,1,rent,little,moderate,14165,28,radio/TV,1
35,female,2,rent,little,moderate,21141,66,car,0
64,female,2,rent,rich,rich,33000,10,furniture,1
53,male,3,rent,little,rich,19730,28,education,0
64,female,2,free,moderate,moderate,25546,30,education,0
39,male,1,own,rich,little,10138,13,education,1
51,female,2,rent,moderate,little,21327,26,furniture,0
64,male,1,free,little,rich,21673,7,car,0
25,male,1,rent,little,moderate,13722,27,radio/TV,0
57,male,3,own,rich,moderate,18595,69,education,0
66,female,0,rent,little,little,1939,24,education,1
61,female,0,free,rich,little,20514,58,car,0
36,male,3,own,rich,little,5875,57,education,1
59,male,2,free,rich,rich,23987,52,education,0
58,female,3,own,rich,moderate,26202,59,furniture,0
54,female,1,own,rich,rich,21100,49,business,0
23,male,0,own,moderate,moderate,2966,12,car,0
69,female,3,rent,rich,rich,7428,6,car,1
43,female,2,free,moderate,moderate,22980,68,car,0
51,female,3,free,little,little,9611,44,furniture,0
62,female,0,free,rich,little,29989,24,furniture,1
23,male,3,own,little,little,9904,36,radio/TV,0
54,female,3,rent,rich,rich,34139,29,furniture,1
50,female,0,own,moderate,little,13082,70,car,0
39,male,1,free,moderate,moderate,1363,38,radio/TV,0
38,male,1,rent,moderate,rich,28184,64,business,0
23,female,0,rent,little,moderate,3555,38,education,0
23,female,3,rent,rich,rich,12686,37,education,0
65,female,0,free,little,moderate,3182,64,radio/TV,0
21,female,1,rent,moderate,moderate,22332,46,business,0
47,male,2,rent,little,rich,17497,17,education,0
28,male,3,own,moderate,rich,11846,16,radio/TV,1
47,male,1,own,moderate,little,7689,24,furniture,1
48,female,3,rent,moderate,little,22270,59,car,0
41,female,0,rent,rich,moderate,744,62,business,1
26,female,2,own,rich,moderate,33288,47,education,0
20,female,0,own,moderate,moderate,30305,36,car,0
68,male,2,own,little,rich,14417,57,radio/TV,0
48,male,3,free,little,rich,6267,7,education,1
57,female,3,free,rich,little,28890,43,car,0
54,male,0,own,moderate,moderate,10747,37,furniture,0
53,female,2,rent,little,little,4015,15,business,1
41,female,2,own,moderate,rich,22766,13,radio/TV,0
48,male,3,free,little,rich,11250,25,education,1
23,female,0,rent,rich,rich,30083,25,furniture,0
19,female,2,free,moderate,little,8576,14,business,0
37,male,3,rent,moderate,rich,18506,20,business,0
45,female,1,free,little,moderate,15551,68,furniture,0
28,female,0,rent,little,little,4814,26,education,1
21,male,1,rent,little,rich,29170,10,business,0
32,female,0,rent,moderate,little,2515,40,radio/TV,0
23,male,3,rent,rich,little,10736,53,car,0
66,female,2,free,rich,rich,26867,67,radio/TV,0
47,male,2,free,little,rich,16852,40,business,0
55,male,2,rent,rich,little,10846,26,car,1
68,male,0,rent,little,little,25656,44,furniture,0
19,female,3,free,rich,rich,14535,39,car,0
32,male,1,rent,moderate,moderate,16608,20,car,0
28,male,3,rent,little,little,3353,11,car,1
25,male,1,rent,rich,little,19120,71,business,0
43,male,0,own,moderate,moderate,4676,61,education,0
68,male,0,rent,rich,rich,26420,54,business,0
62,female,1,own,moderate,rich,7329,6,education,1
61,female,1,rent,moderate,moderate,25630,70,furniture,0
22,female,1,free,rich,rich,8891,33,furniture,1
23,female,3,own,rich,rich,19824,25,furniture,0
43,female,1,own,moderate,little,806,53,furniture,0
21,female,0,rent,moderate,little,31043,70,furniture,0
36,female,0,rent,moderate,little,7744,56,radio/TV,0
37,male,2,own,little,moderate,7111,48,business,0
50,female,1,free,moderate,rich,23206,54,education,0
37,male,3,free,little,rich,19576,30,furniture,0
66,male,3,rent,moderate,little,33543,46,radio/TV,0
29,female,3,free,little,little,5771,69,radio/TV,0
64,male,2,free,moderate,moderate,7831,66,radio/TV,0
18,male,0,rent,moderate,rich,12053,17,business,0
43,male,3,free,moderate,moderate,31840,19,furniture,0
31,male,0,rent,rich,rich,12073,39,radio/TV,1
55,female,2,own,rich,moderate,21909,53,radio/TV,0
54,female,1,rent,moderate,little,20934,66,furniture,0
28,female,1,own,little,moderate,24964,40,business,0
53,female,1,own,little,moderate,21162,70,radio/TV,0
30,female,3,free,moderate,little,18728,64,education,0
60,female,1,free,rich,rich,7886,41,car,1
20,female,3,free,little,rich,7362,24,car,0
50,female,2,rent,rich,little,26752,47,car,0
23,female,2,free,little,moderate,9987,24,business,0
67,female,3,own,moderate,moderate,15104,44,radio/TV,0
27,male,0,free,rich,moderate,17927,57,car,0
22,female,1,free,little,rich,27701,17,car,0
40,male,1,rent,moderate,moderate,3542,52,furniture,0
27,male,1,rent,moderate,rich,10886,41,radio/TV,0
61,male,3,own,moderate,moderate,12192,68,radio/TV,0
19,male,2,rent,rich,little,15725,56,furniture,0
30,female,1,free,rich,little,17193,48,radio/TV,0
57,male,2,rent,moderate,rich,7161,39,education,0
19,female,1,own,rich,rich,18761,54,business,0
37,female,1,free,little,little,27878,23,furniture,0
18,male,3,own,moderate,little,21719,66,car,0
54,female,0,rent,moderate,moderate,12437,62,radio/TV,0
26,male,3,rent,rich,little,1294,10,education,1
34,male,1,own,moderate,rich,7286,29,education,1
26,female,1,free,little,little,27532,69,business,0
28,female,0,rent,rich,rich,26927,64,education,0
32,male,2,rent,rich,rich,17858,43,radio/TV,0
41,female,2,free,moderate,moderate,30290,38,radio/TV,0
55,female,1,rent,moderate,moderate,21121,15,education,0
52,female,2,own,moderate,moderate,28865,42,radio/TV,0
47,male,1,rent,rich,moderate,13689,16,radio/TV,1
48,male,0,rent,moderate,little,11713,29,car,1
66,female,0,free,little,moderate,7748,26,furniture,1
22,female,1,own,moderate,little,4869,25,radio/TV,0
61,female,0,free,moderate,moderate,8550,15,radio/TV,1
67,female,3,rent,rich,moderate,29105,52,business,0
31,female,3,rent,moderate,rich,15898,52,furniture,0
28,male,0,free,rich,little,33555,20,furniture,1
